iter	Passed	Remaining
0	152	15120
1	154	7560
2	155	5029
3	157	3776
4	159	3038
5	161	2529
6	162	2163
7	164	1890
8	165	1676
9	167	1503
10	168	1360
11	169	1244
12	171	1148
13	173	1065
14	179	1015
15	181	951
16	183	897
17	185	845
18	188	802
19	192	768
20	194	730
21	196	694
22	198	664
23	200	635
24	202	608
25	204	580
26	205	555
27	209	537
28	210	515
29	212	495
30	214	477
31	215	458
32	217	442
33	221	429
34	222	414
35	224	399
36	226	386
37	228	372
38	230	361
39	232	349
40	234	336
41	235	325
42	237	315
43	239	305
44	241	294
45	242	284
46	244	275
47	245	266
48	247	257
49	249	249
50	251	242
51	253	233
52	255	226
53	257	219
54	258	211
55	260	204
56	261	197
57	263	190
58	264	183
59	266	177
60	267	171
61	269	165
62	270	158
63	271	152
64	273	147
65	274	141
66	276	136
67	278	130
68	279	125
69	282	121
70	284	116
71	285	111
72	287	106
73	289	101
74	290	96
75	291	92
76	293	87
77	294	83
78	296	78
79	299	74
80	300	70
81	301	66
82	303	62
83	304	57
84	306	54
85	307	50
86	308	46
87	309	42
88	311	38
89	313	34
90	314	31
91	315	27
92	317	23
93	319	20
94	321	16
95	322	13
96	326	10
97	328	6
98	329	3
99	331	0
